DHQ Food Group Code,DHQ Food Group Name,CSFII 1994-96 Food Code,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Food Group,Subgroup,Food Item,Serving size,Oxalate Category,Oxalate Value,Food Description in 1994-96 CSFII,GI Value,"GI Links to:   Foster-Powel K, Holt, SHA, Brand-Miller JC. International table of glycemic index and glycemic load values: 2002. Am J Clin Nutri 2002;76:5-56."
730.1,"Potatoes, white, NFA",71501010,Potato,"Potato, mashed, from fresh, made with milk",71501010,0,12,0,17.6,10,15.3,1.2,0,0,1.107,2.15,35,0.055,0.9,2.13,0.088,74.84,1.167,0.426,2.226,4.06,25,0.169,0.28,21,58,330,212,0.3,36,0.04,0.27,10.1,0.28,1.5,Vegetables,Potatoes,Mashed Potatoes,1 cup,Very High,29,"White potato, from fresh, mashed, made with milk",79.3,"609;VEGETABLES;Potato;Mashed potato;Mean of 3 studies
609;VEGETABLES;Potato;Mashed potato;Pontiac, peeled, cubed, boiled 15 min, mashed (Australia)
609;VEGETABLES;Potato;Mashed potato;Prince Edward Island, peeled, cubed, boiled 15 min, mashed (Canada)"
732.1,"Potatoes, fried",71401010,Potato,"Potato, french fries, from fresh, fried",71401010,0,3,0,18.5,0,12.7,1.6,13,0,1.215,1.93,0,0.03,0.3,1.25,0.073,65.13,5.446,5.397,1.804,13.1,9,0.144,0.64,23,52,401,141,0.28,0,0.0,0.265,9.7,1.56,16.3,Vegetables,Potatoes,French Fries (homemade or fast food),4 oz or 1/2 cup,Very High,51,"White potato, french fries, from fresh, deep fried",75.0,"607;VEGETABLES;Potato;French fries;French fries, frozen, reheated in microwave (Cavendish Farms, New Annan, Canada)"
734.1,Potato salads,71601010,Potato salad with egg,"Potato salad with egg, made with mayonnaise",71601010,5,67,3,16.18,17,18.2,1.3,43,0,0.8,1.96,13,0.017,2.4,4.95,0.032,70.99,2.0,4.983,1.437,9.4,15,0.041,0.5,15,53,242,329,0.33,19,0.07,0.115,0.8,0.68,14.3,Vegetables,Potatoes,Potato Salad,1/3 cup,Very High,17,Potato salad with egg,65.8,71601010;RECIPE;;;Potato salad with egg
734.1,Potato salads,71602010,Potato salad,"Potato salad, German style",71602010,0,18,2,17.16,5,15.3,1.9,40,0,1.376,2.92,0,0.048,1.7,1.46,0.068,74.82,1.394,0.458,1.199,3.22,17,0.098,0.89,24,67,446,180,0.38,2,0.03,0.262,7.8,0.07,2.8,Vegetables,Potatoes,Potato Salad,1/3 cup,Very High,17,"Potato salad, German style",68.2,"71602010;RECIPE;;;Potato salad, German style"
734.1,Potato salads,71603010,Potato salad,"Potato salad, made with mayonnaise",71603010,2,19,5,15.8,6,15.6,1.5,24,0,1.0,1.52,2,0.021,1.1,1.29,0.079,70.34,2.518,6.619,1.746,11.14,10,0.131,0.31,16,36,261,178,0.24,4,0.02,0.207,5.8,0.51,27.8,Vegetables,Potatoes,Potato Salad,1/3 cup,Very High,17,Potato salad,65.9,71603010;RECIPE;;;Potato salad
740.1,"Sweet potatoes, NFA",71945010,Yam,"Yam, cooked, Puerto Rican",71945010,0,73,0,27.4,0,16.2,3.9,0,0,0.55,1.49,0,0.028,0.7,0.49,0.095,69.92,0.005,0.06,0.029,0.14,14,0.152,0.52,18,49,668,124,0.2,6,0.0,0.227,12.1,0.34,2.3,Vegetables,Vegetables,Yams,"1/2 cup, cubed",Very High,40,"Yam, Puerto Rican (Name), cooked",37.0,617;VEGETABLES;;Yam;Mean of 3 studies
740.1,"Sweet potatoes, NFA",73402010,Sweet potato,"Sweet potato, baked, peel eaten, no added fat",73402010,41,10920,0,21.83,0,13.9,3.5,1,0,1.556,2.11,0,0.106,0.2,6.21,0.107,74.14,0.002,0.089,0.051,0.15,38,0.192,0.99,28,56,478,182,0.33,912,0.0,0.3,19.2,0.68,2.3,Vegetables,Potatoes,Sweet Potatoes,1 cup,Very High,28,"Sweetpotato, baked, peel eaten, fat not added in cooking",61.0,613;VEGETABLES;Potato;Sweet potato;Mean of 5 studies
760.1,"Lettuce, NFA",72116000,Romaine lettuce,"Romaine lettuce, raw",72116000,0,4443,0,2.87,0,13.6,1.3,1730,0,0.375,1.36,0,0.08,0.6,0.78,0.07,94.98,0.006,0.082,0.02,0.15,36,0.029,0.86,13,29,194,28,0.18,370,0.0,0.09,9.2,0.22,126.3,Vegetables,Vegetables,Endive,1/2 cup,Little or None,0,"Endive, chicory, escarole, or romaine lettuce, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
760.1,"Lettuce, NFA",72116000,Romaine lettuce,"Romaine lettuce, raw",72116000,0,4443,0,2.87,0,13.6,1.3,1730,0,0.375,1.36,0,0.08,0.6,0.78,0.07,94.98,0.006,0.082,0.02,0.15,36,0.029,0.86,13,29,194,28,0.18,370,0.0,0.09,9.2,0.22,126.3,Vegetables,Vegetables,Romaine Lettuce,1 cup,Little or None,0,"Endive, chicory, escarole, or romaine lettuce, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
760.1,"Lettuce, NFA",75113000,Lettuce,"Lettuce, raw",75113000,2,2371,0,2.92,0,10.2,1.2,1004,0,0.249,1.13,0,0.053,0.4,1.38,0.056,95.31,0.006,0.078,0.019,0.14,27,0.027,0.64,10,24,168,19,0.16,198,0.0,0.066,6.0,0.2,75.2,Vegetables,Vegetables,Iceberg Lettuce,1 cup,Little or None,0,"Lettuce, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
790.1,Pickled veg/frt,75503010,Pickles,"Pickles, dill",75503010,0,45,1,1.99,0,3.4,1.0,199,0,0.109,0.48,0,0.057,0.0,1.28,0.047,94.7,0.005,0.122,0.079,0.43,54,0.026,0.23,7,16,112,808,0.11,4,0.0,0.034,2.1,0.12,16.8,Vegetables,Vegetables,Pickles,1 pickle,Little or None,0,"Cucumber pickles, dill",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
815.1,Raw spinach/greens,72125100,Spinach,"Spinach, raw",72125100,0,5626,0,3.63,0,19.3,2.2,12198,0,0.724,2.86,0,0.189,1.0,0.42,0.078,91.4,0.01,0.165,0.063,0.39,99,0.13,2.71,79,49,558,79,0.53,469,0.0,0.195,28.1,2.03,482.9,Vegetables,Vegetables,"Spinach, raw",1 cup,Very High,656,"Spinach, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
815.1,Raw spinach/greens,75127500,Seaweed,"Seaweed, raw",75127500,0,1136,0,7.94,0,12.4,0.7,0,0,1.18,3.51,0,0.275,0.7,0.58,0.069,82.2,0.06,0.125,0.146,0.49,129,0.226,2.28,77,60,165,384,0.89,95,0.0,0.054,15.0,0.96,25.1,Vegetables,Vegetables,Sea Vegetables,1 cup,Low,3,"Seaweed, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
820.1,"Ckd spinach/greens, NFA",72107211,Collards,"Collards, fresh, cooked, no added fat",72107211,14,3046,29,5.81,0,24.9,4.3,4403,0,0.756,3.24,0,0.132,1.4,0.49,0.052,88.55,0.032,0.215,0.059,0.65,249,0.049,0.5,29,27,228,143,0.22,256,0.0,0.168,26.5,2.42,468.6,Vegetables,Vegetables,Collards,1 cup,High,10,"Collards, cooked, from fresh, fat not added in cooking",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
820.1,"Ckd spinach/greens, NFA",72119211,Kale,"Kale, fresh, cooked, no added fat",72119211,0,2923,27,4.74,0,0.5,4.4,6375,0,1.202,3.13,0,0.353,1.0,0.86,0.109,88.53,0.111,0.721,0.191,1.6,272,0.057,1.72,35,59,373,181,0.42,245,0.0,0.15,70.1,0.71,418.1,Vegetables,Vegetables,Kale,1 cup chopped,Very Low,2,"Kale, cooked, from fresh, fat not added in cooking",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
820.1,"Ckd spinach/greens, NFA",72122211,Mustard greens,"Mustard greens, fresh, cooked, no added fat",72122211,10,1823,41,5.01,0,0.5,3.4,3799,0,0.815,3.07,0,0.112,1.0,1.42,0.077,89.71,0.099,0.041,0.011,0.45,123,0.177,1.76,34,62,412,146,0.27,154,0.0,0.183,52.5,2.15,276.1,Vegetables,Vegetables,Mustard Greens,1 cup chopped,Low,4,"Mustard greens, cooked, from fresh, fat not added in cooking",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
830.1,"Broccoli, NFA",72201100,Broccoli,"Broccoli, raw",72201100,25,361,1,6.64,0,18.7,2.6,1403,0,0.639,2.82,0,0.117,2.5,1.7,0.071,89.3,0.031,0.112,0.114,0.37,47,0.049,0.73,21,66,316,33,0.41,31,0.0,0.175,89.2,0.78,101.6,Vegetables,Vegetables,Broccoli,1/2 cup chopped,Very Low,1,"Broccoli, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
840.1,"Carrots, NFA",73101010,Carrots,"Carrots, raw",73101010,3477,8285,0,9.58,0,8.8,2.8,256,1,0.983,0.93,0,0.058,0.1,4.74,0.066,88.29,0.012,0.102,0.032,0.24,33,0.045,0.3,12,35,320,69,0.24,835,0.0,0.138,5.9,0.66,13.2,Vegetables,Vegetables,"Carrots, raw",1/2 lg carrot,High,10,"Carrots, raw",16.0,"599;VEGETABLES;Root vegetables;Carrots;Carrots, raw (Romania)"
840.1,"Carrots, NFA",73102211,Carrots,"Carrots, fresh, cooked, no added fat",73102211,3430,8174,0,9.95,0,9.1,2.9,253,1,0.97,0.97,0,0.057,0.1,4.92,0.062,87.53,0.012,0.106,0.033,0.25,34,0.047,0.31,12,36,332,192,0.25,824,0.0,0.129,5.2,0.68,13.7,Vegetables,Vegetables,"Carrots, cooked",1/2 cup sliced,Moderate,7,"Carrots, cooked, from fresh, fat not added in cooking",47.0,599;VEGETABLES;Root vegetables;Carrots;Mean of 4 studies
860.1,"Tomatoes, raw",74101000,Tomatoes,"Tomatoes, raw",74101000,101,449,0,3.89,0,6.7,1.2,123,2573,0.594,0.88,0,0.019,0.0,2.63,0.037,94.52,0.031,0.083,0.028,0.2,10,0.059,0.27,11,24,237,5,0.17,42,0.0,0.08,13.7,0.54,7.9,Vegetables,Vegetables,Tomato,1 med whole,Moderate,7,"Tomatoes, raw",38.0,"43;BEVERAGES;Juices;;Tomato juice, canned, no added sugar (Berri Ltd, Berri, Australia)"
870.1,"String beans, NFA",75101800,Green beans,"Green beans, raw",75101800,69,379,0,6.97,0,15.3,2.7,640,0,0.734,1.83,0,0.104,0.6,3.26,0.082,90.32,0.01,0.113,0.05,0.22,37,0.069,1.03,25,38,211,6,0.24,35,0.0,0.141,12.2,0.41,43.0,Vegetables,Vegetables,String Beans,1/2 cup,Moderate,9,"Beans, string, green, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
880.1,Cabbage/sauerkraut,75103000,Cabbage,"Cabbage, green, raw",75103000,33,42,0,5.8,0,10.7,2.5,30,0,0.234,1.28,0,0.04,0.3,3.2,0.061,92.18,0.017,0.017,0.034,0.1,40,0.019,0.47,12,26,170,18,0.18,5,0.0,0.124,36.6,0.15,76.0,Vegetables,Vegetables,Cabbage,1/2 cup,Very Low,1,"Cabbage, green, raw",32.0,"1001;IMPUTED VALUES;Vegetable, NFS;;Imputed mean"
